Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: A241
Latitude: -8.30361111
Longitude: -49.28277777
Altitude: 175.74
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;5,5;null;
2010-03-31;24;210,2;990,3;26,8;5,7;1,3;
2010-04-30;17;null;990,3;26,8;4,7;1,3;
2010-05-31;null;null;null;null;3,8;null;
2010-06-30;1;null;992,7;27,6;4,5;1,3;
2010-07-31;0;0;992,4;27,5;4,3;1,4;
2010-08-31;null;0;991,9;28;4,6;1,4;
2010-09-30;0;0;989,8;29,7;5,3;1,5;
2010-10-31;14;167,2;989,7;27,9;5,8;1,4;
2010-11-30;20;184;988,7;26,9;5,5;1,3;
2010-12-31;13;null;988,2;26,4;5,3;1,4;
2011-01-31;null;null;null;null;5,7;null;
2011-02-28;null;null;null;null;5;null;
2011-03-31;8;null;null;null;3,7;null;
2011-04-30;23;270,8;990,6;25,8;3,7;1,2;
2011-05-31;10;62,4;990,8;26,8;5,3;1,2;
2011-06-30;0;0;992;27,3;3,8;1,2;
2011-07-31;0;0;992;27,2;5,2;1,3;
2011-08-31;1;21,6;991,6;28,2;4,6;1,3;
2011-09-30;0;0;991,1;29,4;5,1;1,5;
2011-10-31;17;158,8;989,2;27,1;6,9;1,4;
2011-11-30;17;249;989,7;25,9;6,1;1,4;
2011-12-31;21;197,2;989,6;26,4;6;1,3;
2012-01-31;26;296,2;990,6;25;5;1,3;
2012-02-29;18;180,2;990,3;25,4;4,7;1,3;
2012-03-31;21;181,4;990,7;26,1;5;1,3;
2012-04-30;24;123,4;990,3;26,7;5,5;1,2;
2012-05-31;12;178,8;991,5;26,8;4,8;1,2;
2012-06-30;3;16;992,6;26,9;5,8;1,2;
2012-07-31;1;,2;992,3;27,3;4,7;1,3;
2012-08-31;null;null;null;null;5,1;null;
2012-09-30;1;null;991,5;28,9;5,9;1,5;
2012-10-31;4;null;null;28,2;5,5;null;
2012-11-30;null;null;null;null;6,7;null;
2012-12-31;22;204,6;989,5;26,1;6,7;1,3;
2013-01-31;22;303,6;990,8;25,9;5,4;1,4;
2013-02-28;14;149;989,9;26;5,4;1,4;
2013-03-31;20;370,2;990,7;26,5;5,5;1,4;
2013-04-30;17;183,6;991,2;26,7;4,2;1,2;
2013-05-31;14;81,4;991,6;27;4,3;1,2;
2013-06-30;9;28,8;992,2;26,9;3,6;1,1;
2013-07-31;0;0;992,8;27,3;4,4;1,3;
2013-08-31;2;,8;991,3;28,3;3,9;1,3;
2013-09-30;7;1,8;990,8;28,6;4,6;1,5;
2013-10-31;null;null;990,5;27,4;6,8;1,5;
2013-11-30;14;21,2;989,3;25,8;4,5;1,4;
2013-12-31;10;74,4;989,9;26;5,4;1,4;
2014-01-31;null;null;991,1;25,6;4,5;1,4;
2014-02-28;7;64;990,2;25,5;4,1;1,3;
2014-03-31;null;null;990,9;26;6,3;1,3;
2014-04-30;null;null;991,3;26,6;4,9;1,3;
2014-05-31;null;null;991,4;27,5;4,5;1,2;
2014-06-30;2;null;993,2;25,5;4,3;1,4;
2014-07-31;1;,4;994,4;25,4;4,9;1,4;
2014-08-31;24;13,2;993;26;4,4;1,5;
2014-09-30;27;32,2;991,8;26,8;7;1,4;
2014-10-31;25;25,2;991,2;26,3;8,6;1,4;
2014-11-30;26;35,8;990,4;25,9;7,4;1,3;
2014-12-31;28;171,2;991,2;25,1;5,4;1,3;
2015-01-31;22;68,8;992,1;24,9;4,9;1,2;
2015-02-28;null;null;992;25,2;7,3;1,3;
2015-03-31;null;null;991,7;25,3;5,4;1,2;
2015-04-30;null;null;992;25,4;4,8;1,2;
2015-05-31;null;null;992,5;25,8;5;1,1;
2015-06-30;1;,2;993,8;25,1;4,3;null;
2015-07-31;2;9,4;993,4;25,3;5,1;1,5;
2015-08-31;1;4,8;992,5;26;4,9;1,5;
2015-09-30;5;3,2;991;28,3;6,2;1,5;
2015-10-31;3;null;990,6;29;5;1,6;
2015-11-30;3;null;null;null;4,2;null;
2015-12-31;18;228,6;991,4;25,9;6;1,2;
2016-01-31;23;341,2;991,7;25,8;5;1,3;
2016-02-29;12;85;991,2;26,9;4,8;1,2;
2016-03-31;21;335,8;992,2;26,3;4,4;1,2;
2016-04-30;8;43,2;991,2;26,4;4,6;1,2;
2016-05-31;8;51,2;992,9;26;3,8;1,1;
2016-06-30;7;33,6;994,3;25,1;5,2;1,4;
2016-07-31;0;0;993,5;24,6;5,5;1,5;
2016-08-31;1;,8;992,4;27;5,1;1,5;
2016-09-30;6;80,8;992;27,6;5,1;1,5;
2016-10-31;14;53;990,4;26,9;5,6;1,4;
2016-11-30;16;100,2;989,7;26,4;6;1,3;
2016-12-31;19;235;990,6;25,8;6;1,3;
2017-01-31;22;260,6;991,3;25,3;6,4;1,3;
2017-02-28;25;276,8;991,5;25,2;6,4;1,3;
2017-03-31;23;210,6;991,4;25,6;5,4;1,2;
2017-04-30;19;54,8;991,5;25,9;4,3;1,1;
2017-05-31;9;18,6;991,9;26,3;4,8;1,1;
2017-06-30;8;6,8;993,1;24,9;4,3;1,4;
2017-07-31;0;0;995,3;24,3;5,1;1,7;
2017-08-31;0;0;992;26,9;4,6;1,4;
2017-09-30;0;0;991,6;28,5;5,9;1,6;
2017-10-31;null;null;990;28,5;8,3;1,7;
2017-11-30;null;null;989,9;26,8;6,7;1,5;
2017-12-31;null;null;990,5;25,7;5,7;1,4;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;20;null;991,3;25,9;4,7;1,3;
2018-04-30;17;227;992,1;25,9;4,5;1,2;
2018-05-31;3;20,8;992,6;26,6;4,6;1,3;
2018-06-30;2;16;993,8;25,3;4,7;1,4;
2018-07-31;3;5;993,4;25,5;4,1;1,4;
2018-08-31;2;2,4;993,1;27;4,8;1,4;
2018-09-30;9;66,6;990,6;27,8;5,7;1,4;
2018-10-31;19;51,8;990,5;27;6;1,4;
2018-11-30;25;70,2;990,1;26,3;6,8;1,4;
2018-12-31;17;347,2;991,9;26,1;4,7;1,3;
2019-01-31;22;201,6;992,4;25,5;7,9;1,3;
2019-02-28;18;197;991,7;26,1;6,8;1,3;
2019-03-31;20;241,8;992,2;26,2;6,1;1,4;
2019-04-30;18;280,6;991,8;26,3;3,8;1,2;
2019-05-31;11;44,2;991,6;26,4;7,3;1,2;
2019-06-30;null;null;null;25,9;4,4;null;
2019-07-31;1;null;null;25,5;4,3;null;
2019-08-31;1;1;993,9;26,7;4,7;1,5;
2019-09-30;4;37,4;991,4;28,6;4,9;1,5;
2019-10-31;18;168,4;990,8;26,4;6,2;1,4;
2019-11-30;16;146;989,9;26,2;4,8;1,3;
2019-12-31;18;229,4;990,2;26,2;6,3;1,4;
2020-01-31;21;151,2;991,7;26,3;4,4;1,3;
2020-02-29;23;257,6;991,9;26;4,2;1,2;
2020-03-31;25;318,2;991,8;26;4,4;1,3;
2020-04-30;22;232,2;992,4;26,2;4,8;1,2;
2020-05-31;13;63,4;993,1;26,4;4,3;1,2;
2020-06-30;2;13,4;993,4;25,4;4,8;1,3;
2020-07-31;0;0;993;24,7;5,2;1,4;
2020-08-31;0;0;992,3;26,4;4,8;1,5;
2020-09-30;1;14;991,1;28,1;4,8;1,5;
2020-10-31;null;null;null;null;7,3;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;10;null;null;26;4,4;null;
2021-01-31;20;166,6;990,6;25,6;4,5;1,2;
2021-02-28;24;377,2;991,1;25,1;4,3;1,3;
2021-03-31;25;147;991,4;25,4;4,7;1,3;
2021-04-30;20;182,6;991,3;25,8;4,8;1,2;
2021-05-31;4;23;992,6;25,7;3,7;1,1;
2021-06-30;2;1,2;993;25,5;3,8;1,3;
2021-07-31;0;0;994;25,4;4,5;1,5;
2021-08-31;2;2,2;992,7;26,5;5,1;1,5;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;16;null;null;25,3;5;null;
2022-01-31;25;391,2;991,5;25,3;4,8;1,3;
2022-02-28;21;339,2;990,9;25,8;5,4;1,3;
2022-03-31;25;285;990,8;25,7;5,2;1,3;
2022-04-30;16;189;991;26;6,1;1,2;
2022-05-31;6;60,6;992,8;25,6;5;1,3;
2022-06-30;3;7;992,5;25,3;3,9;1,2;
2022-07-31;0;0;993,1;25,5;4,5;1,4;
2022-08-31;0;0;992,3;26,6;5,5;1,5;
2022-09-30;3;17,8;991,2;28,1;5,1;1,5;
2022-10-31;7;128,8;990,3;27,8;8,2;1,5;
2022-11-30;22;425,6;990,8;25,5;6,9;1,5;
2022-12-31;24;295;990,6;25,4;4,8;1,2;
2023-01-31;23;208,8;991,7;25,3;5,4;1,3;
2023-02-28;23;216,4;991,5;25,7;6;1,3;
2023-03-31;13;null;null;25,7;3,8;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;1;null;null;25,8;4,5;null;
2023-07-31;0;0;993,8;25,5;5,1;1,4;
2023-08-31;5;44,8;992,3;27,2;8,5;1,4;
2023-09-30;5;29;991,2;28,1;4,8;1,3;
2023-10-31;14;64;990,1;28,3;7,1;1,4;
2023-11-30;14;141,2;990,2;27,2;4,6;1,3;
2023-12-31;19;143;990,4;26,9;6,4;1,3;
2024-01-31;20;246,8;992,1;26,4;4,7;1,4;
2024-02-29;19;185,8;992,3;26,5;4,2;1,3;
2024-03-31;20;133,4;991,5;27;5,4;1,3;
2024-04-30;25;392,4;991,3;26,5;6,6;1,2;
2024-05-31;9;14,6;991,8;26,9;4,2;1,2;
2024-06-30;0;0;993,2;25,9;4,3;1,4;
2024-07-31;null;null;null;null;4,9;null;

