Nome: ITAPORANGA
Codigo Estacao: A373
Latitude: -7.31833332
Longitude: -38.14083333
Altitude: 292
Situacao: Operante
Data Inicial: 2017-11-02
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-11-30;2;null;977,2;29,9;8,2;2,9;
2017-12-31;3;5,4;977,4;30;7,9;3,1;
2018-01-31;14;226,8;978;28,3;null;null;
2018-02-28;18;132,2;977,7;27;7,2;1,8;
2018-03-31;12;74;978,3;26,9;5,5;1,8;
2018-04-30;18;213;979,4;25,4;5,2;1,4;
2018-05-31;9;49,8;980,4;25,1;5,1;1,7;
2018-06-30;1;,8;981,8;25,3;5,6;null;
2018-07-31;1;,2;981,9;26,2;null;null;
2018-08-31;0;0;981,9;27,4;5,8;2,5;
2018-09-30;2;35;979,5;28,4;6,2;2,6;
2018-10-31;2;1,2;978,3;29,7;7,8;2,7;
2018-11-30;3;60,6;977,5;30;5,8;null;
2018-12-31;10;69,2;978,8;27,9;null;null;
2019-01-31;11;81,2;979,2;28,1;7,5;1,9;
2019-02-28;18;161;978,4;27,2;8,2;1,7;
2019-03-31;13;null;978,9;26,6;8,1;1,7;
2019-04-30;16;93,4;978,9;26,5;5,1;1,4;
2019-05-31;13;221,4;979,3;25,7;5,6;1,3;
2019-06-30;5;null;981,8;25;5,9;1,7;
2019-07-31;4;null;982,2;25,1;5,5;2,2;
2019-08-31;6;5,4;983,1;26,1;6,8;2,5;
2019-09-30;1;3,6;980,6;28,4;5,3;2,5;
2019-10-31;1;1;978,6;29,6;5,7;2,8;
2019-11-30;null;null;null;30,5;7,7;null;
2019-12-31;3;53;977,3;30,2;7,8;2,5;
2020-01-31;6;null;null;null;6,9;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;18;null;978,5;26,3;null;null;
2020-04-30;4;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;15;null;978,7;26,8;5,7;1,5;
2023-04-30;13;null;978,3;26,1;5,8;1,3;
2023-05-31;6;null;980;26;4,8;1,4;
2023-06-30;null;null;981,7;null;4,4;1,8;
2023-07-31;1;null;null;null;4,8;null;
2023-08-31;2;null;980,8;null;6;2,2;
2023-09-30;2;null;980,1;null;6,4;2,5;
2023-10-31;null;null;978,4;30,3;7,1;2,5;
2023-11-30;2;null;977,8;30,5;6,9;2,6;
2023-12-31;5;23,4;977,7;29,8;7,9;2,2;
2024-01-31;4;null;978,9;28,7;5,3;2;
2024-02-29;2;null;979;null;6,6;1,8;
2024-03-31;3;null;978,5;null;5,8;1,4;
2024-04-30;2;null;null;null;5,3;null;
2024-05-31;null;null;null;null;4,4;null;
2024-06-30;null;null;null;null;5,1;null;
2024-07-31;null;null;null;null;4,9;null;

