Nome: SAQUAREMA - SAMPAIO CORREIA
Codigo Estacao: A667
Latitude: -22.8711111
Longitude: -42.60888888
Altitude: 26
Situacao: Pane
Data Inicial: 2015-09-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-09-30;12;128,2;1012,6;23,1;8,1;1,9;
2015-10-31;12;60,6;1013,7;23,9;7,8;2,2;
2015-11-30;20;151,4;1010,1;24,7;8,1;1,7;
2015-12-31;11;111;1010,9;26,9;7,1;1,9;
2016-01-31;19;242;1010;25,9;6,2;1,8;
2016-02-29;9;77,4;1011;27,2;9;1,7;
2016-03-31;12;491,6;1012,9;26,2;6,3;1,6;
2016-04-30;2;3,6;1012,6;25,9;7,4;1,7;
2016-05-31;12;null;1016,2;21,7;5,1;1,3;
2016-06-30;12;59,2;1019,1;19,1;6,7;1,5;
2016-07-31;9;9;1017,8;20,6;5,8;1,6;
2016-08-31;12;38,6;1016,4;21,5;8,9;2,2;
2016-09-30;16;80,4;1016,1;22,2;7,9;1,9;
2016-10-31;14;81,8;1013,5;22,8;7,2;2,3;
2016-11-30;17;244;1011,6;23,8;7,1;2,3;
2016-12-31;14;87,8;1010,5;25,7;6,7;1,9;
2017-01-31;5;132;1010,2;27,9;6,4;1,9;
2017-02-28;5;11,6;1011,2;27,8;7;2,6;
2017-03-31;17;139,4;1012,1;25,6;6,9;1,8;
2017-04-30;18;100,2;1014,3;23,6;5,3;1,7;
2017-05-31;15;47,2;1015,5;21,4;6,1;1,8;
2017-06-30;17;176,4;1017,7;20,7;5,6;1,4;
2017-07-31;9;52,4;1023,5;19,9;6,8;2,1;
2017-08-31;10;60,8;1017,7;20,5;6,5;2,1;
2017-09-30;1;8;1018,1;22,9;7,9;3;
2017-10-31;12;87;1012,5;24,3;7,7;2,4;
2017-11-30;6;null;null;22,9;6,5;null;
2017-12-31;7;null;null;26,8;5,5;null;
2018-01-31;17;249,4;1010,1;26,3;8,1;1,6;
2018-02-28;12;178,8;1010,4;25,5;5,2;1,5;
2018-03-31;14;170;1010,2;26,1;6,3;1,7;
2018-04-30;11;null;1015,2;23,9;4,5;1,5;
2018-05-31;12;72,4;1016,8;21,7;7,4;1,5;
2018-06-30;15;69;1017,2;20,9;7,1;1,5;
2018-07-31;6;15,6;1017,2;20,9;4,6;1,4;
2018-08-31;11;204,8;1018,1;20,5;9,7;1,7;
2018-09-30;12;83;1013,9;22,1;5,8;1,8;
2018-10-31;16;119,8;1012,4;23,2;5,7;2;
2018-11-30;14;220,4;1012,4;24,3;6,6;2,2;
2018-12-31;10;69,4;1011,1;25,4;6;1,7;
2019-01-31;4;33,6;1011,7;28,3;8,5;1,9;
2019-02-28;18;149;1010,1;26,3;7,8;1,5;
2019-03-31;19;182,6;1012,4;25,9;4,8;1,5;
2019-04-30;9;312;1012;25;8;1,5;
2019-05-31;12;158;1013,5;23,2;5,6;1,5;
2019-06-30;11;58,2;1018,1;22;5,9;1,5;
2019-07-31;8;60,2;1018,1;20,1;5,6;1,8;
2019-08-31;12;157;1020,3;20,3;7;1,9;
2019-09-30;14;205;1015,9;22;5,8;1,9;
2019-10-31;11;66,6;1013,1;24,1;6,1;2,1;
2019-11-30;21;148;1011,6;23,6;7,6;2,1;
2019-12-31;14;121,2;1010,9;25,1;5,9;1,9;
2020-01-31;18;204,6;1009,4;26,1;7,8;1,6;
2020-02-29;13;187,4;1011,2;25,8;7,4;1,7;
2020-03-31;15;191;1013,3;24,2;4,7;1,5;
2020-04-30;9;40,6;1014,9;22,9;5,7;1,5;
2020-05-31;9;121,6;1016;20,8;5,5;1,4;
2020-06-30;5;null;null;21,2;5,5;null;
2020-07-31;null;null;null;null;9,1;null;
2020-08-31;null;null;null;null;6,8;null;
2020-09-30;null;null;null;null;5;null;
2020-10-31;null;null;null;null;6,3;null;
2020-11-30;null;null;null;null;7,7;null;
2020-12-31;null;null;null;null;3,9;null;
2021-01-31;2;null;1010,4;27,9;6,7;2,7;
2021-02-28;12;58,8;1009,5;25,5;5,9;1,6;
2021-03-31;7;161;1010,7;25,8;7,4;1,7;
2021-04-30;18;95,6;1013,9;23;5,9;1,8;
2021-05-31;12;186,2;1015,3;21,2;5,2;1,2;
2021-06-30;17;30,6;1017;20,4;5,5;1,6;
2021-07-31;10;17,6;1019,9;19,4;7,5;1,7;
2021-08-31;11;87,2;1018,2;21,2;7;2;
2021-09-30;12;53,4;1014,6;22,6;7,2;2;
2021-10-31;23;189,4;1014,1;21,8;5,9;1,9;
2021-11-30;14;180,6;1011,2;22,4;6,5;1,8;
2021-12-31;22;264,6;1009,7;24,2;8,8;1,7;
2022-01-31;13;207;1009,5;26,4;8,8;1,9;
2022-02-28;16;162,2;1010,5;25,2;5,1;1,4;
2022-03-31;5;89,6;1011;26,7;5,8;1,8;
2022-04-30;14;444;1013;23,9;5,1;1,5;
2022-05-31;16;79,4;1014,9;21,5;5,7;1,6;
2022-06-30;18;97,6;1016,1;19,5;4,9;1,3;
