Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Operante
Data Inicial: 2022-12-07
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2022-12-31;5;null;1011,3;23;8,1;3,2;
2023-01-31;8;100,8;1010,8;25,5;7,8;2,9;
2023-02-28;12;151,8;1011,2;24,1;7,1;2,2;
2023-03-31;11;91,4;1012,6;25;7,4;2,2;
2023-04-30;5;50;1014,8;20;6,9;2,1;
2023-05-31;16;174;1017,5;17,6;7,6;1,6;
2023-06-30;14;188,6;1018,5;15,7;12,1;1,8;
2023-07-31;12;194,6;1018,9;15;12,6;2,1;
2023-08-31;6;73,4;1016,1;15,9;7,8;2,2;
2023-09-30;21;375,2;1013,7;18;10,2;2,8;
2023-10-31;13;99,4;1013,3;18,6;9,6;2,7;
2023-11-30;16;233,2;1011;21;9,3;2,7;
2023-12-31;14;110,4;1011,4;24;8,6;2,9;
2024-01-31;12;113,6;1012,4;24;10,6;2,9;
2024-02-29;7;67,4;1012,9;25,5;7,4;2,7;
2024-03-31;8;90;1013;24;11,2;2,2;
2024-04-30;17;247;1013,6;21,5;7,2;2,3;
2024-05-31;23;556,2;1015,5;16,7;9,3;2,4;
2024-06-30;15;175;1015,8;17;6,4;2;
2024-07-31;15;null;null;null;5,6;null;

