Nome: ROSARIO OESTE
Codigo Estacao: A944
Latitude: -14.82888888
Longitude: -56.44194444
Altitude: 195
Situacao: Operante
Data Inicial: 2019-05-29
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-05-31;null;null;null;null;null;null;
2019-06-30;0;0;992,2;22,6;3,8;1;
2019-07-31;2;2,8;992,5;21,8;4,2;1,2;
2019-08-31;null;0;992,5;24,4;4,6;1,3;
2019-09-30;5;58;988,3;28,4;4;1,2;
2019-10-31;8;53,4;988;27,4;4,9;1,2;
2019-11-30;15;134,8;986,7;27,2;4,5;1,2;
2019-12-31;18;202;987,4;26,3;4,9;1;
2020-01-31;13;null;987,1;27,3;4;1,1;
2020-02-29;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;13;null;986,8;26,5;5,5;1;
2021-03-31;16;199,8;988,4;25,8;6,2;1;
2021-04-30;7;163,8;989,4;25,1;3,4;,9;
2021-05-31;1;10,4;991,5;23;3,3;,9;
2021-06-30;1;,4;992,2;22,4;4,3;1,1;
2021-07-31;0;0;993,4;20,7;4,8;1,2;
2021-08-31;0;0;990,8;24,7;4,1;1,2;
2021-09-30;4;35,8;988,2;29,1;3,5;1,2;
2021-10-31;11;132,8;987,4;28,1;4,5;1,3;
2021-11-30;20;363,8;986,7;26,2;5;1,1;
2021-12-31;25;219,6;985,6;26,7;4,1;1;
2022-01-31;3;null;null;27,1;5,8;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;1;2,2;991,9;21,7;4,1;1;
2022-06-30;5;37,4;991,6;21,9;3,6;1,1;
2022-07-31;0;0;990,8;22,8;3,4;,9;
2022-08-31;4;7,2;991;23,5;5,2;1,2;
2022-09-30;6;37,6;988,8;27,1;4,6;1,4;
2022-10-31;14;205,2;987,8;26,6;5,7;1,1;
2022-11-30;9;113,4;987,6;25;4,9;1,2;
2022-12-31;16;null;986,1;26,3;3,5;1;
2023-01-31;17;null;987,9;26,1;4,5;1,1;
2023-02-28;15;null;988,6;26,5;4,1;1;
2023-03-31;18;411,4;988,6;26,2;4,5;,9;
2023-04-30;12;167,6;988,8;25,9;2,8;,9;
2023-05-31;1;,2;991;24,4;3,3;1;
2023-06-30;4;1,8;993,1;21,2;3,6;1;
2023-07-31;0;0;992,1;22,8;3,9;1;
2023-08-31;1;2,6;989,4;26,6;5,7;1;
2023-09-30;7;109;988,1;28,7;5;1,1;
2023-10-31;9;null;986,4;29,4;3,5;1,1;
2023-11-30;11;null;986,4;29,1;3,6;1,2;
2023-12-31;13;null;987,2;28,1;3,7;1;
2024-01-31;12;null;987,8;27,7;5,9;1;
2024-02-29;7;null;988,8;27,6;3,8;,9;
2024-03-31;17;274,6;988,2;27,3;3,7;,8;
2024-04-30;19;267,2;988,3;27,1;3,4;,8;
2024-05-31;2;12,2;991,1;23,7;3,6;1,1;
2024-06-30;0;0;991,1;23,1;3,4;,8;
2024-07-31;null;null;null;null;5;null;

